policy,gamma,pred_gdp_impact,gdp_r2,pred_unemployment_gain,unemployment_r2,region_gamma,region
No_Measure,1.0,-0.0,-0.22663534613778613,0.0,-0.2867545399625886,0.15292610795336123,DE
Restrict_Mass_Gatherings,0.873,-1.3548490444170953,-0.22663534613778613,0.19457365542416866,-0.2867545399625886,0.13350449224328434,DE
Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0.794,-2.1976291586607997,-0.22663534613778613,0.3156076615541633,-0.2867545399625886,0.055274854908369316,DE
Mass_Gatherings_Authorized_But_Others_Restricted,0.668,-3.5418101003659497,-0.22663534613778613,0.50864924095137,-0.2867545399625886,0.7061835256422387,DE
Restrict_Mass_Gatherings_and_Schools,0.479,-5.558081512923675,-0.22663534613778613,0.7982116100471801,-0.2867545399625886,0.07325160570966002,DE
Restrict_Mass_Gatherings_and_Schools_and_Others,0.423,-6.15549526479263,-0.22663534613778613,0.8840078675570497,-0.2867545399625886,0.07927589436467627,DE
Lockdown,0.239,-8.118426163790627,-0.22663534613778613,1.1659098565180501,-0.2867545399625886,0.009826117196241421,DE
No_Measure,1.0,-0.0,0.7803784806147893,0.0,0.8491374821897055,1.3141371383281386,US-NY
Restrict_Mass_Gatherings,0.873,-1.3962596878898235,0.7803784806147893,1.77070325210188,0.8491374821897055,0.30069463601587354,US-NY
Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0.794,-2.2647991787819177,0.7803784806147893,2.872164330181002,0.8491374821897055,0.2734840103053879,US-NY
Mass_Gatherings_Authorized_But_Others_Restricted,0.668,-3.6500646959009555,0.7803784806147893,4.628925036990741,0.8491374821897055,0.23008478448866385,US-NY
Restrict_Mass_Gatherings_and_Schools,0.479,-5.727962971579513,0.7803784806147893,7.26406609720535,0.8491374821897055,0.1649859457635778,US-NY
Restrict_Mass_Gatherings_and_Schools_and_Others,0.423,-6.343636534743528,0.7803784806147893,8.044848633565234,0.8491374821897055,0.05244553844222003,US-NY
Lockdown,0.239,-8.366563956568156,0.7803784806147893,10.61027696731914,0.8491374821897055,0.18044320951013926,US-NY
No_Measure,1.0,-0.0,0.946755578457685,0.0,0.9341865227361357,1.0047802511398816,US-FL
Restrict_Mass_Gatherings,0.873,-1.3227419980645783,0.946755578457685,1.8086797715844134,0.9341865227361357,1.6426020972118354,US-FL
Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0.794,-2.1455500126086853,0.946755578457685,2.9337640389479454,0.9341865227361357,1.4939588375557815,US-FL
Mass_Gatherings_Authorized_But_Others_Restricted,0.668,-3.4578767193499207,0.946755578457685,4.728202237527757,0.9341865227361357,0.9763615159303947,US-FL
Restrict_Mass_Gatherings_and_Schools,0.479,-5.426366779461774,0.946755578457685,7.4198595353974754,0.9341865227361357,0.9012673591803769,US-FL
Restrict_Mass_Gatherings_and_Schools_and_Others,0.423,-6.0096230935689885,0.946755578457685,8.217387623655169,0.9341865227361357,0.96183491230635,US-FL
Lockdown,0.239,-7.926036697064126,0.946755578457685,10.83783705650188,0.9341865227361357,0.9789954619846648,US-FL
No_Measure,1.0,-0.0,-0.22498077434703112,0.0,-5.7840429541246055,0.23897356060654582,ES
Restrict_Mass_Gatherings,0.873,-3.5153498539789783,-0.22498077434703112,0.4656047987134565,-5.7840429541246055,0.2086239184095145,ES
Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0.794,-5.702063542674562,-0.22498077434703112,0.755232980590331,-5.7840429541246055,0.1897450071215974,ES
Mass_Gatherings_Authorized_But_Others_Restricted,0.668,-9.189733476543468,-0.22498077434703112,1.2171715997863586,-5.7840429541246055,0.12340507446208027,ES
Restrict_Mass_Gatherings_and_Schools,0.479,-14.421238377346832,-0.22498077434703112,1.9100795285804004,-5.7840429541246055,0.11446833553053544,ES
Restrict_Mass_Gatherings_and_Schools_and_Others,0.423,-15.971313903510788,-0.22498077434703112,2.1153855815564127,-5.7840429541246055,0.03124850904767405,ES
Lockdown,0.239,-21.064419203763798,-0.22498077434703112,2.7899626127633104,-5.7840429541246055,0.06819844326438941,ES
No_Measure,1.0,-0.0,-4.304489795918369,0.0,-4.8324260355029605,0.27122710821127455,BR
Restrict_Mass_Gatherings,0.873,-0.47251303818927703,-4.304489795918369,0.43990963855421694,-4.8324260355029605,0.5875129577113125,BR
Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0.794,-0.7664384713936303,-4.304489795918369,0.7135542168674698,-4.8324260355029605,0.5343474094189944,BR
Mass_Gatherings_Authorized_But_Others_Restricted,0.668,-1.2352309344790549,-4.304489795918369,1.15,-4.8324260355029605,0.5938522562942523,BR
Restrict_Mass_Gatherings_and_Schools,0.479,-1.9384196291071918,-4.304489795918369,1.8046686746987954,-4.8324260355029605,0.3223581978736754,BR
Restrict_Mass_Gatherings_and_Schools_and_Others,0.423,-2.146771834922936,-4.304489795918369,1.9986445783132532,-4.8324260355029605,0.2846712269322854,BR
Lockdown,0.239,-2.8313576540318097,-4.304489795918369,2.635993975903615,-4.8324260355029605,0.16084260812486104,BR
No_Measure,1.0,-0.0,0.6427758015602785,0.0,-9.318660800323897,0.0668005721466801,SG
Restrict_Mass_Gatherings,0.873,-4.01238873499162,0.6427758015602785,0.16153008071818412,-9.318660800323897,0.05831689948405173,SG
Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,0.794,-6.508284089828925,0.6427758015602785,0.26200942226729074,-9.318660800323897,0.019679798219002148,SG
Mass_Gatherings_Authorized_But_Others_Restricted,0.668,-10.489079212733998,0.6427758015602785,0.42226761258611906,-9.318660800323897,0.3504215425969684,SG
Restrict_Mass_Gatherings_and_Schools,0.479,-16.460271897091605,0.6427758015602785,0.6626548980643616,-9.318660800323897,0.03199747405825977,SG
Restrict_Mass_Gatherings_and_Schools_and_Others,0.423,-18.229514173938302,0.6427758015602785,0.7338807604282852,-9.318660800323897,0.02825664201804568,SG
Lockdown,0.239,-24.04273879786317,0.6427758015602785,0.9679085939097489,-9.318660800323897,0.028691834513819982,SG
